section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
2.60,Exhibits Required for National and International Exhibitions or Fairs,2,0,2,2,4,1,0
2.61,Sale of Exhibits,9,8,8,2,9,4,2
2.62,Import of Samples,5,3,5,2,0,1,0
2.63,Exports of Samples / Exhibits,2,0,2,0,0,1,2
2.64,Export Policy,1,1,0,1,0,0,0
2.65,Gifts / Spares / Replacement Goods,0,1,0,0,0,1,1
2.66,Export by post,3,9,3,1,2,3,2
2.67,Direct negotiation of export documents,2,2,2,0,0,0,1
2.68,Application for Grant of Export Authorisation/Certificate/,1,1,1,0,0,1,2
2.69,Export of Items under (STE),0,0,0,0,0,1,1
2.70,Free of Cost Exports for status holders,5,6,6,0,6,1,3
2.71,Admissibility of benefits on payment through insurance cover,0,4,2,0,1,4,4
2.72,RBI write-off on export proceeds realization,1,1,1,1,0,0,1
2.73,Conversion of Shipping Bill from one Scheme to another,0,1,0,0,1,3,1
2.74,Offsetting of Export Proceeds,2,9,1,1,1,4,4
2.75,Quality Certification,2,5,2,0,0,1,2
2.76,Track and Trace system for export of drug formulations,11,31,11,10,5,4,8
2.77,Registering Authorities,0,4,0,0,0,4,0
2.78,Criteria for EPCs as Registering Authorities,4,1,4,1,3,5,0
2.79,Registration- cum- Membership Certificate (RCMC),6,11,6,3,0,2,3
2.80,Applying for RCMC,1,5,1,2,2,0,2
2.81,Validity Period of RCMC,1,1,1,1,1,0,0
2.82,Intimation Regarding Change in Constitution of Business of RCMC,6,7,6,3,4,0,2
2.83,De- Registration,2,3,2,0,1,0,0
2.84,Appeal Against De-registration,1,0,1,0,1,2,0
2.85,Directives of DGFT,0,0,0,0,0,2,0
2.86,Identity Cards for Importers /Exporters,0,3,0,0,1,3,3
2.87,Interview with authorised Officers,5,7,3,0,2,2,3
2.88,Free Trade Agreements (FTAs) / Preferential Trade Agreements,0,7,0,1,1,2,4
2.89,Unilateral Tariff Preferences,1,35,1,1,3,3,11
2.90,Certificates of Origin (Co O),1,23,1,0,2,2,10
2.91,Rules of Origin (Preferential),2,5,2,0,0,0,4
2.92,TRQ under FTA/CECA,2,25,0,0,10,2,3
2.93,Rules of Origin (Non-Preferential),11,23,18,0,1,1,20
2.94,Approved Exporter Scheme (AES) for self-certification,0,1,1,0,0,0,0
2.95,Application to PIC,1,0,1,0,0,1,1
2.96,Application to PRC,4,1,4,0,0,3,3
2.97,Application to EPCG Committee,3,4,9,0,0,5,5
