section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
4.41,Provisional clearance of export consignment,0,1,0,0,0,3,1
4.42,Re-export of goods imported under Advance Authorisation,0,1,0,0,1,2,0
4.43,Monitoring of Export Obligation,10,10,10,1,5,3,10
4.44,Advance Authorisation for Annual Requirement,16,11,16,2,6,5,11
4.45,Special Advance Authorisation for export of Articles of Apparel,9,7,9,2,1,2,1
4.46,Fulfilment of Export Obligation,1,0,1,0,0,1,1
4.47,Redemption/No Bond Certificate,10,16,9,1,5,8,13
4.48,Transitional Arrangement for Authorisations issued upto,9,9,8,1,1,7,8
4.49,Regularisation of Bonafide Default,21,24,24,9,5,6,7
4.50,Payment of Customs Duty and Interest in case of bonafide default,13,6,13,2,6,10,7
4.51,Maintenance of Proper Accounts,3,0,3,1,0,4,0
4.52,Policy,0,0,0,0,0,0,0
4.53,Application,6,2,6,0,2,1,4
4.54,Facility for Split DFIA,2,1,1,0,0,0,0
4.55,Re-export of goods imported under DFIA Scheme,4,3,4,0,3,2,3
4.56,Maintenance of proper accounts of import and its utilisation,4,1,4,0,1,1,1
4.57,General Provision,1,0,1,0,0,1,1
4.58,Application for Replenishment Authorisation,11,6,11,0,6,2,10
4.59,Wastage Norms,0,0,0,0,0,0,0
4.60,Value Addition,4,5,4,3,0,0,0
4.61,Entitlement,2,0,2,0,1,0,0
4.62,Loss of Gem and Jewellery in transit,1,1,1,0,1,0,0
4.63,Gem & Jewellery Replenishment Authorisations,6,2,6,0,4,0,0
4.64,Agency Commission,2,2,1,0,1,0,0
4.65,Endorsement on Shipping Bill and Invoice,3,3,3,0,0,1,2
4.66,Conditions of Exports,1,0,1,0,0,1,1
4.67,Proof of Exports,4,6,3,0,0,4,9
4.68,Conversion of Purity/Fineness,2,2,2,0,2,0,0
4.69,Release of Gold/Silver/Platinum by Nominated Agencies,4,0,4,1,0,0,0
4.70,Terms of payment,1,0,1,0,0,0,1
4.71,Port of Export,3,1,2,0,0,5,2
4.72,Export by Post,2,2,2,0,0,0,2
4.73,Export of Cut & Polished Diamonds for Certification/Grading & Re-,2,2,2,0,0,2,0
4.74,Import of Diamonds for Certification/Grading & re-export,10,5,10,2,6,2,3
4.75,Enlistment /Authorisation of Laboratories for Certification/,2,4,1,0,2,2,3
4.76,Export against Supply by Foreign Buyer,10,8,10,2,6,4,2
4.77,Export Procedure/Payment of Customs Duty,22,15,23,0,9,9,18
4.78,Maintenance of Accounts,2,0,2,0,1,0,0
4.79,Export through Exhibitions/Export Promotion Tours/ Export of,27,20,26,3,13,4,12
4.80,Export against supply by Nominated Agencies,0,2,0,0,2,0,0
4.81,Replenishment Basis,17,7,17,2,10,1,4
4.82,Outright Purchase Basis in Advance,6,3,6,2,5,0,0
4.83,Loan Basis,15,12,15,2,10,1,7
4.84,Exports against Advance Authorisation,14,8,14,6,13,1,5
4.85,Regularistion of Bonafide Default,3,2,3,0,0,1,0
4.86,Replenishment Authorisation for Import of Consumables etc.,1,0,1,0,0,1,1
4.87,Personal Carriage of Gems & Jewellery Export Parcels,4,2,4,1,0,2,2
4.88,Personal Carriage of Gems & Jewellery Import Parcels,2,1,2,2,2,1,0
4.89,Duty free import of samples,1,1,1,0,1,1,0
4.90,Re-import of rejected jewellery,2,2,2,2,0,1,2
4.91,Diamond & Jewellery Dollar Accounts,0,1,0,0,0,0,0
4.92,"Export and import of Diamond, Gemstone & Jewellery on",3,1,3,0,0,1,0
4.93,Guidelines/ Monitoring for import of precious metal by the,7,3,7,2,4,4,1
4.94,Filing of Annual RODTEP Return (ARR),11,12,11,1,14,6,2
4.95,Filing of Application for Diamond Imprest Authorisation (DIA),1,1,1,0,0,1,2
4.96,Conditions of Imports & Exports,7,4,7,0,2,4,1
4.97,General Provision,3,3,1,0,3,1,2
4.98,Fulfilment of export obligation,1,1,1,0,0,1,1
4.99,Regularisation of Bonafide Default in fulfilment of export,7,3,6,0,1,5,0
